	Date	Open	High	Low	Close	Adj Close	Volume	Awesome	KAMA	MFI	ROC	RSI	Stochastic	Stochastic Signal	TSIIndicator	Ultimate	WilliamsRI	kama	ADI	ChaikinMF	EOM	ForceIndex	NVI	OBV	EoM	VPT	ATR	BolllingerHigh	BollingerHighIndicator	BollingerLow	BollingerLowIndicator	BollingerBandMovingAverage	DonchianHigh	DonchianHighIndicator	DonchianLow	DonchianLowIndicator	KeltnerChannelCentral	KeltnerChannelHigh	KeltnerChannelHighIndicator	KeltnerChannelLow	KeltnerChannelLowIndicator	ADX	ADXNeg	ADXPos	AroonIndicator	AroonUp	CCI	DPO	EMA	Ichimoku_A	Ichimoku_B	KST	KSTSignal	MACD	MACDDiff	MACDSignal	MassIndex	PSAR_Down	PSAR_DownIndicator	PSAR_Up	PSAR_UpIndicator	TRIX	VortexIndicatorNeg	VortexIndicatorPos	CumulativeReturn	DailyLogReturn	DailyReturn	Label
0	2004-08-19	49.813286	51.835709	47.800831	49.982655	49.982655	44871300	0.0				100.0	54.0741008773995	54.0741008773995			-45.9258991226005		3656204.054001123	0.08148201754798999			1000.0	44871300		-40277173.00618475	0.0	49.982655	0.0	49.982655	0.0	49.982655	49.982655	1.0	49.982655	1.0	49.873065	49.873065	0.0	45.838187000000005	0.0	0.0	0.0	0.0	4.0	4.0		438.604787872412		49.81827	49.81827	-897.699673356009	-897.699673356009				0.0		0.0		0.0				0.0		-89.76996733560091	3.9701149999999927
1	2004-08-20	50.316402000000004	54.336333999999994	50.062355	53.952769999999994	53.952769999999994	22942800	0.0				100.0	94.13107147223404	74.10258617481676	100.0		-5.868928527765962		22481046.460292775	0.33150991401924934	44.35667141951054		1079.4298542164277	67814100	44.35667141951054	-38458608.09374284	0.0	55.93782749999999	0.0	47.997597500000005	0.0	51.9677125	53.952769999999994	1.0	49.982655	0.0	51.32844233333333	51.32844233333333	0.0	47.17401383333333	0.0	0.0	0.0	0.0	4.0	8.0	66.66666666666666	436.619730372412		51.0685825	51.0685825	-893.6368233401964	-895.6682483481027				0.0		0.0		0.0				7.9429854216427564	7.643298897855733	7.9429854216427564	0.5429650000000024
2	2004-08-23	55.168217000000006	56.528118000000006	54.321388	54.495734999999996	54.495734999999996	18342800	0.0				100.0	76.7123162100661	74.97249618656654	100.0		-23.287683789933908		7036663.712607231	0.08167266594558568	38.80326721768237		1090.2929226148551	86156900	41.579969318596454	2006939.868573232	0.0	56.83390172419478	0.0	48.78687160913854	0.0	52.81038666666666	54.495734999999996	1.0	49.982655	0.0	52.590655	52.590655	0.0	49.085459333333326	0.0	0.0	0.0	0.0	4.0	12.0	92.8920599992396	435.77705620574534		52.164474500000004	52.164474500000004	-891.9121081864207	-894.4162016275419				0.0		0.0	47.800831	1.0				9.0292922614855	1.0013407503255412	1.0063709425855327	
3	2004-08-24	55.4123	55.591629000000005	51.591621	52.239193	52.239193	15319700	0.0				63.509611095280256	50.85614807900778	73.8998452537693	98.72319080103674		-49.14385192099222		-3322741.823781723	-0.032743921493050845	-47.86338286666186		1045.1464212935468	70837200	11.765518590177017	-449756.6383397691	0.0	56.18699185249385	0.0	49.14818464750614	0.0	52.667588249999994	54.495734999999996	0.0	49.982655	0.0	52.72819483333333	52.72819483333333	0.0	49.09929608333333	0.0	0.0	0.0	0.0	4.0	12.0	19.269152908925175	435.919854622412		52.164474500000004	52.164474500000004	-892.2043760675334	-893.8632452375398				0.0		0.0	48.14992248	0.0				4.514642129354662	-4.228940480999865	-4.140768080291046	0.5628929999999954
4	2004-08-25	52.284027	53.798351000000004	51.746044	52.802085999999996	52.802085999999996	9232100	0.0				66.7673110696872	57.30595315588901	61.62480581498761	97.68246139177451		-42.69404684411099		-3053840.9031592705	-0.027584470806352804	-18.215972468263036		1056.4081880004173	80069300	4.2701458255670035	-534874.5962837217	0.0	55.844176474526506	0.0	49.544799125473475	0.0	52.69448779999999	54.495734999999996	0.0	49.982655	0.0	52.73898793333333	52.73898793333333	0.0	49.42540753333333	0.0	0.0	0.0	0.0	4.0	12.0	2.510674629911545	435.892955072412		52.164474500000004	52.164474500000004	-892.149320313661	-893.520460252764				0.0		0.0	48.4850503008	0.0				5.640818800041725	1.0717660591333278	1.0775300453052417	0.9514310000000066
5	2004-08-26	52.279045	53.773444999999995	52.134586	53.753517	53.753517	7128600	0.5950195166666745				71.41288204153908	68.20774886857734	58.78995003449135	96.82898494620044		-31.79225113142266		3901396.115888798	0.03310832916138437	4.1799801596665995		1075.4434113193868	87197900	4.252112692386922	227927.57332301838	0.0	55.85263566695596	0.0	49.889349666377356	0.0	52.87099266666666	54.495734999999996	0.0	49.982655	0.0	52.8192426111111	52.8192426111111	0.0	49.78478244444444	0.0	0.0	0.0	0.0	4.0	12.0	26.585992039832533	435.71645020574533		52.164474500000004	52.164474500000004	-891.7880648838674	-893.2317276912812				0.0		0.0	48.806773008768	0.0				7.54434113193867	1.7858399917725531	1.8018814635467395	
6	2004-08-27	53.848164000000004	54.107193	52.647663	52.87680400000001	52.87680400000001	6241200	0.7471990142857194				62.71330501417253	58.16209550573967	61.225265843401985	95.59324274649433		-41.83790449426033		-380111.64181397716	-0.0030634770876016163	9.901673494280066		1057.9030665737946	80956700	5.193706159369113	26655.746773133884	0.0	55.63229087324269	0.0	50.111354841043	0.0	52.871822857142845	54.495734999999996	0.0	49.982655	0.0	52.87514414285714	52.87514414285714	0.0	50.065673999999994	0.0	0.0	0.0	0.0	4.0	12.0	24.561402591126182	435.71562001526917		52.164474500000004	52.164474500000004	-891.7863657192893	-893.025247409568				0.0		0.0	49.115626808417275	0.0				5.7903066573794515	-1.6444342437555992	-1.6309872338213571	
7	2004-08-30	52.443428000000004	52.548038	50.814533000000004	50.814533000000004	50.814533000000004	5221400	0.14794542500000318				47.924004095697164	34.531945609213956	53.633929994510304	93.29956391457938		-65.46805439078604		-5601511.641813977	-0.04332185594740581	-56.31193749688762		1016.6433335724163	75735300	-3.592814362953278	-305435.244818469	0.0	55.53345484999965	0.0	49.69586840000033	0.0	52.61466162499999	54.495734999999996	0.0	49.982655	0.0	52.689797125	52.689797125	0.0	50.014822624999994	0.0	0.0	0.0	0.0	4.0	12.0	-84.09517249718837	435.972781247412		52.164474500000004	52.164474500000004	-892.3127018662664	-892.9361792166553				0.0		0.0	49.412126456080586	0.0				1.664333357241632	-3.9782358639983695	-3.9001430570576923	0.17932899999999563
8	2004-08-31	50.958991999999995	51.661362	50.889256	50.993862	50.993862	4941200	-0.1539782333333335				49.04920075270148	36.58675370707983	43.09359827401113	91.37509160488334		-63.413246292920164		-9203830.277856208	-0.06856194025418601	-6.3437402151096585		1020.2311581887757	80676500	-3.9366800944728255	-186204.13593337013	0.0	55.368952232825464	0.0	49.50019332273007	0.0	52.43457277777777	54.495734999999996	0.0	49.982655	0.0	52.52220781481481	52.52220781481481	0.0	50.05866314814815	0.0	0.0	0.0	0.0	4.0	12.0	-78.56213672709902	436.15287009463424		52.164474500000004	52.164474500000004	-892.6812926883379	-892.9078584912867				0.0		0.0	49.69676611783736	0.0				2.0231158188775744	0.35228761923975505	0.352908881402092	
9	2004-09-01	51.158245	51.292744	49.648903000000004	49.93782	49.93782	9181600	-0.40473285000000203	49.93782			43.13811379412391	24.48629224637621	31.86833052088997	89.06974130598618		-75.51370775362379	49.93782	-15157964.449713476	-0.10568734551583171	-14.403222192270336		1020.2311581887757	71494900	-5.099629216450327	-172705.64142007657	0.0	55.346176244999896	0.0	49.023618755000086	0.0	52.18489749999999	54.495734999999996	0.0	49.93782	1.0	52.2993026	52.2993026	0.0	49.9177283	0.0	0.0	0.0	0.0	40.0	12.0	-103.56238919524071	436.402545372412		52.626492500000005	52.164474500000004	-893.192307208707	-892.4070400304753				0.0	56.528118000000006	1.0		0.0				-0.08970111731759767	-2.0926641024178405	-2.0709198295277176	0.6276480000000006
