DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
02/10/2020,24774266133,Cash Alternatives Redemption,1745.85,,1.00,,1745.85,21153.96,,,,
02/10/2020,24774266136,Cash Alternatives Redemption (MMDA1),1745.85,MMDA1,0.00,,-1745.85,19408.11,,,,
02/10/2020,,Bought 1 QCOM @ 86.78,1,QCOM,86.78,0.00,-86.78,19321.33,,,,
02/10/2020,,Bought 1 PYPL @ 118.56,1,PYPL,118.56,0.00,-118.56,19202.77,,,,
02/10/2020,,Bought 1 MA @ 325.62,1,MA,325.62,0.00,-325.62,18877.15,,,,
02/10/2020,,Bought 1 NFLX @ 365,1,NFLX,365.00,0.00,-365.00,18512.15,,,,
02/10/2020,,Bought 1 COST @ 313.76,1,COST,313.76,0.00,-313.76,18198.39,,,,
02/10/2020,,Bought 1 AMZN @ 2086.74,1,AMZN,2086.74,0.00,-2086.74,16111.65,,,,
02/10/2020,,Bought 1 INTU @ 295.05,1,INTU,295.05,0.00,-295.05,15816.60,,,,
02/10/2020,,Bought 1 JNJ @ 151.68,1,JNJ,151.68,0.00,-151.68,15664.92,,,,
02/10/2020,,Bought 1 SBUX @ 86.43,1,SBUX,86.43,0.00,-86.43,15578.49,,,,
02/10/2020,,Bought 1 AAPL @ 314.13,1,AAPL,314.13,0.00,-314.13,15264.36,,,,
02/10/2020,,Bought 1 VZ @ 59.93,1,VZ,59.93,0.00,-59.93,15204.43,,,,
02/10/2020,,Bought 1 KO @ 59.37,1,KO,59.37,0.00,-59.37,15145.06,,,,
02/10/2020,,Bought 1 DIS @ 141.03,1,DIS,141.03,0.00,-141.03,15004.03,,,,
02/10/2020,,Bought 1 BABA @ 213.5,1,BABA,213.50,0.00,-213.50,14790.53,,,,
02/10/2020,,Bought 1 PFE @ 38.17,1,PFE,38.17,0.00,-38.17,14752.36,,,,
02/10/2020,,Bought 1 C @ 78.09,1,C,78.09,0.00,-78.09,14674.27,,,,
02/10/2020,,Sold 1 AAPL @ 320.88,1,AAPL,320.88,0.00,320.87,14995.14,0.01,,,
02/10/2020,,Sold 1 AMZN @ 2128.4735,1,AMZN,2128.4735,0.00,2128.43,17123.57,0.04,,,
02/10/2020,,Sold 1 BABA @ 215.425,1,BABA,215.425,0.00,215.43,17339.00,,,,
02/10/2020,,Sold 1 C @ 78.3788,1,C,78.3788,0.00,78.38,17417.38,,,,
02/10/2020,,Sold 1 COST @ 313.5396,1,COST,313.5396,0.00,313.53,17730.91,0.01,,,
02/10/2020,,Sold 1 DIS @ 142.27,1,DIS,142.27,0.00,142.27,17873.18,,,,
02/10/2020,,Sold 1 INTU @ 297.4869,1,INTU,297.4869,0.00,297.48,18170.66,0.01,,,
02/10/2020,,Sold 1 JNJ @ 151.695,1,JNJ,151.695,0.00,151.70,18322.36,,,,
02/10/2020,,Sold 1 KO @ 59.765,1,KO,59.765,0.00,59.77,18382.13,,,,
02/10/2020,,Sold 1 MA @ 329.1641,1,MA,329.1641,0.00,329.15,18711.28,0.01,,,
02/10/2020,,Sold 1 NFLX @ 370.14,1,NFLX,370.14,0.00,370.13,19081.41,0.01,,,
02/10/2020,,Sold 1 PFE @ 37.816,1,PFE,37.816,0.00,37.82,19119.23,,,,
02/10/2020,,Sold 1 SBUX @ 87.245,1,SBUX,87.245,0.00,87.25,19206.48,,,,
02/10/2020,,Sold 1 PYPL @ 119.795,1,PYPL,119.795,0.00,119.80,19326.28,,,,
02/10/2020,,Sold 1 QCOM @ 88.175,1,QCOM,88.175,0.00,88.18,19414.46,,,,
02/10/2020,,Sold 1 VZ @ 60.095,1,VZ,60.095,0.00,60.10,19474.56,,,,
***END OF FILE***
